,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Ladakh_Bike_Rental,Midhun Raj,5.0 of 5 bubbles,May 2022 • Friends,Blissful LBR🥳,Nice and Friendly behaviour of the staff.Throughout our stay they supported guided and helped to make the entire trip cheerful.
1,Ladakh_Bike_Rental,Scott L,5.0 of 5 bubbles,Apr 2022 • Solo,Fantastic Bike Rental with Cosy Accommodation Above,"I had a fantastic experience in Ladakh and Gurmat from Ladakh Bike Rentals played a pivotal role in that. Even before booking, Gurmat was extremely helpful with tips to help me plan my trip. When I landed I had a brand new Himalayan and all the gear I required. The bike was flawless and the equipment in good condition. I also stayed in the Courtyard above the bike shop. The room was comfortable and the open area in the middle was great for socialising and planning the trip and potential detours with Gurmat. The food was perfect for the climate - tasty, filling and warm. If you’re looking for a bike or bike tour in Ladakh and/or need a place to stay, this is highly recommended."
2,Ladakh_Bike_Rental,Mallikarjun A,5.0 of 5 bubbles,Feb 2022 • Couples,Made Memories Forever with the Amazing and Humble Hospitality provided by Team Ladakh Bike Rental,"I was an amazing experience with you guys.Right from the moment I landed in Leh, Gurmat bhai and his crew member Tashi took care of us very well and ensured everything was memorable and comfortable. Gurmat has planned our short visit to Leh ladakh is a proper way that we got to see the adventurous side and the mesmerizing beauty of ladakh. The stay provided by him in Chospa Hotel was amazing and luxurious  which had built in a luxurious ladakhi architecture. Tashi's has been so humble with us and took care of us like a family member. He was always ready for every challenge just to ensure we dont miss anything in our trip (Just for the view which I can enjoy sitting in the front seat, he stopped the vehicle on the way to khardungla for which he had to struggle for 20mins to keep the vehicle moving again as it was stuck in snow), he ensured that we stay warm all the time by making a hot coffee when ever required and was always available with us for clicking some amazing pictures of us. Not to the surprise picture which he clicked and sent to me after me reaching home to surprise me again.Will definitely prefer only Ladakh Bike Rental for any trips and tours to all my colleagues and family.Hoping to travel with you guys again soon...!!!Lots of love from Hyderabad ❤️"
3,Ladakh_Bike_Rental,Puneet,5.0 of 5 bubbles,Apr 2021 • Family,Literally best experience of my life.,"A wise advice for all of you if you are going to travel in North just go for LBR. They will get it all covered for you. No matter how bad the weather is, No matter if thing go sideways, they have preparation for everything. I just loved their network. All the hotels I stayed in, every single one of them gave the best hospitality possible. I booked a bolero with an himalyan. The driver named tsetan doorjay was very very very helpful. Whenever bike riding was not possible because of excessive snow we just put the bike onto back side of bolero and just sit in the car. They had snow chains, oxygen cylinder every necessary thing with them. I travelled for 8 days and every day it was snowing and because of their proper arrangements we crossed every pass easily. Gurmat bhai and tsewang bhai both of them are very humble. We decided to spend a day with them and change our last day plan and they didn't hesitated to change the plan at the last moment. Last day they showed us leh Market and helped us in shopping. The trip was so amazing that I am planning the same trip again this year and half of my excitement is to meet the LBR crew again. They stayed in touch whole year as we are friends now. Prices are also very reasonable. Can't wait to meet them... 💯 Thanks for such a great experience gurmat bhaiya."
4,Ladakh_Bike_Rental,Rohit Sarkar,5.0 of 5 bubbles,Feb 2022 • Couples,We had the best days of our lives!,"An Experience of a lifetime! So me and my wife recently booked our entire Kashmir trip through Gurmat (From LBR), let me tell you I already did a ladhakh trip in 2018 with Gurmat and his team and it was an unforgettable experience. So we were sure that Kashmir would be even better. And yes it proved to be so. As a couple we got whatever we wanted, great hotels a lovely car and a some lovely people. If you are ever planning a trip to Kashmir, just leave everything to them and they will plan the best vacation for you. Adventure is their forte and you can have plenty of it if you book through LBR. Thank you to Gurmat and his team for such a wonderful experience . We promise to come back again!"
5,Ladakh_Bike_Rental,Pratish T,5.0 of 5 bubbles,Sep 2021 • Friends,If one wants to exeperince and meet bikers and tour ladakh bike rental and wants to stay coutryard is the place cheers,"The favourite part of my ladakh trip was the amazing ride privided by the  ladakh bike rental and the stay at courtyard the bike was amazing i say the crew is one of a kind and their team work ,not to forget ashis,gurmit chocho and chewang chocho and lastly brother thanks for brother in the glasses for lending me the dirt helmet !! And i wont mind being a part of their crew anyday cheers to the lbr family and lastly the lbr song by ashis is phenomenal!!"
6,Ladakh_Bike_Rental,Vinayak P,5.0 of 5 bubbles,Oct 2021,On the Road....,"well more than a rental service they are amazing people guide with you with everything around what to do and donts,Me and my friend had great time and even there motorcycle which they gave were amazing with 0 break down that also in world toughest terrain ,there motorcycles are well maintained for sure,Along with Motorcycle rental we also thought to stay at the Hotel which they have there which was quiet amazing and you meet people with same mindset over there  at night we were just singing thank you Ashish for that had a really great time and sharing our journeys and experiences  with each other and you dont feel like going and sleeping :)Thank you for everything i am hoping in future i will be back for sure to create more memories with you guys.Thank you Guru,Ashish,Sandeep cheers to whole LBR team."
7,Ladakh_Bike_Rental,Did,5.0 of 5 bubbles,Oct 2021 • Friends,Amazing 6 day’s trip in Ladhak,"Warm thank Guru, Ashish, Sandeep, for your continuous attention during this 6 day’s trip. We went through 3 highest passes in the world, visited amazing places in the middle of knowhere (was it really on earth ?), had exciting rides either off road or on beautiful mountain roads. All of that under your constant supervision and proactive attention.Undoubtedly an unforgettable biking experience I recommend for anyone, basic or advanced rider"
8,Ladakh_Bike_Rental,Jeff P,5.0 of 5 bubbles,Sep 2021,A lifetime trip,"A team of great professionals but still in love with what they do: trips in exceptional environments, an organization that allowed us to focus on what Ladakh is capable of offering in terms of wilderness. An exceptional experience and the trip of a lifetime."
9,Ladakh_Bike_Rental,Laurent B,5.0 of 5 bubbles,Sep 2021 • Friends,Perfect trip with super staff,"Awesome experience and trip. Thank you Guru, Abhishek, Sandeep for all you did with our group. You made this trip special with you hospitality and sweet hearth. We were a group of 6 and every days was amazing.Looking for more"
0,Ladakh_Bike_Rental,Jean-Luc Verset,5.0 of 5 bubbles,Sep 2021 • Friends,Leh-Nubra Valley-Pandong -Satki-Tsomoriri-Tsokahr-Leh,"The 6 days trip was perfect, even more than that. A dedicated team, with an amazing sense of service, customer satisfaction and safety. Everything seemed simple and obvious, while living an unforgettable experience."
1,Ladakh_Bike_Rental,Sarath,5.0 of 5 bubbles,Sep 2021 • Couples,"Best people,best stay,best everything",If you are planning for a trip to leh then I would definitely suggest you to stay at this place. The best hospitality I have ever received. The people here will welcome you with all their heart. They are very friendly and helpful. You feel like home here. They will make sure that you have a very comfortable stay. You take back with you lot of good memories of this place and people .I will definitely miss this place more than anything.thank you Ladakh bike rental for the awesome experience.Especially Ashish thank you for everything. You were awesome.
2,Ladakh_Bike_Rental,Deepak,5.0 of 5 bubbles,Aug 2021 • Friends,Incredible LBR,It was awesome trip with LBR and its crew support staff & specially their hospitality by heart.Excellent service and well maintained bikes. Staff is very friendly and helpful.Looking forward for next trip with LBR.
3,Ladakh_Bike_Rental,Nitika Mehta,5.0 of 5 bubbles,Aug 2021 • Couples,Friendly and helpful,"Staffs are very friendly and helpful, would 100 percent recommend Ladakh Bike Rental. They also have room facilities (stay)"
4,Ladakh_Bike_Rental,Mano Pradeep,5.0 of 5 bubbles,Aug 2021 • Friends,One of the best!,"Ladakh bike rental is ne of the best tour organisers in leh!...stay, food and bike everything is good and the organisers are also so friendly!..package price is very reasonable!..it's totally worth it!..thanks a lot!"
5,Ladakh_Bike_Rental,Rajesh,5.0 of 5 bubbles,Jul 2021,Leh Ladakh  Spiti -2021..Excellent Service and Courtious Crew,We (group of 12 people) had been thrice in Ladakh. This time Mr. Gurmet organized our full trip. He was recommended by one of the friend. Our itinerary had been updated amid the trip due to some personal reasons and instantly he had reorganized our stay accordingly.  He was so active and helpful throughout our full trip. Thanks to Bike Rental and specially Gurmet to make our trip splendid and memorable. It was such a beautiful experience..Thanks to Gurmet and Team..
6,Ladakh_Bike_Rental,Tarun Trikha,5.0 of 5 bubbles,Apr 2021 • Family,Proactive and helpful crew leading to an amazing experience,"Amazing experience and really helpful crew. Our trip itinerary updated mid trip and LDR was proactive enough to update stays instantly. We rented the bike and a backup vehicle and the vehicles were in perfect condition, also the crew was really helpful and active through out the trip to take care of any problems that may arise which turned into a beautiful experience."
7,Ladakh_Bike_Rental,Ragul Ravichandran,5.0 of 5 bubbles,Apr 2021 • Friends,"Leh,  Ladakh - 2021","The favourite part was to experience ladakh during winter and to learn about the people's culture during this season. First day Mr Gurmet picked us from airport and dropped in a very nice stay ( deja vu). That day was just to take rest and adapt to the altitude and temperature. Next day we started driving to lamayuru which is 120 km away from leh. The bikes ( Himalayan)  provided from the Ladakh bike rental was in very good condition and it was properly maintained.  We had a great experience on the way to lamayuru and mr Gurmet arranged a very nice comfortable stay in lamayuru. After 2 days of experiencing lamayuru we headed to the adventurous ride on kardhungla, nubra valley and panong lake. Mr Gurmet arranged us a local guy ( Mr Dorjey ) for the local guidence and support. He was excellent hardworking guy we ever met. He made our trip very comfortable even in the most uncomfortable places like panong frozen lake  with the temperature of minus 21 degree Celsius.  Because of the proper planning and management from Mr Gurmet ( Ladakh bike rental) we had a very great time experiencing the place and explore the culture.  Charges are very reasonable and very effective. He won't charge you any extra money. Very genuine and very trustworthy guy to plan your trip.  And thanks to Mr Gurmet and Ladakh bike rental team  for making our trip as a memorable and as a life changing experience. Even we had a lot of conversation about the place and culture with Mr Gurmet which gave a lot of information about the place and context. Once again thanks a lot for all the efforts you have put for our trip. We felt very happy and satisfied with your Service.  I strongly recommend him. 😁"
8,Ladakh_Bike_Rental,Heinz E,5.0 of 5 bubbles,Aug 2019 • Friends,Ladakh Motobike Tour,"We had a great time with  a very well organized tour operator and great tour guides. Thank Gurmat and Team, hope to be back soon. "
9,Ladakh_Bike_Rental,Twouptourer,5.0 of 5 bubbles,Aug 2019,Excellent company to deal with,"With great trepidation we signed up to Ladakh Bike Rental not really knowing more than a few internet reviews, but found them to be true to their word, picking us up at the Leh Airport, providing a pair of Royal Enfield Himalayas in good condition, a support vehicle and accommodation, all as promised.  Gurmat, the owner, answered all our questions, and his team ensured everything worked out for us.  As others have said, we were lucky to have landed on our feet with LBR, and I can unhesitatingly recommend them.  We came from Australia early August 2019."
0,Ladakh_Bike_Rental,Marie Pham,5.0 of 5 bubbles,Jul 2019,Time for a CHANGE everyone,"It’s great that we found Ladakh Bike Rental, Gurmat present an excellent service that makes all members of our group want to be his friends, after the trip...lol... We got together on the trip through Facebook when one of my friends asking if anybody wanna go Ladakh, Himalayas for a retreat…I’m just thinking I need a breather, out of the digital world that I am for a while and so this is a calling for me.  Here off I go, just prepare 20 days in advance!  It’s really a thrilling trip that marked a milestone in my life.I set these objectives for the trip:1. See the beautiful scenery and admire God’s creation2. Relax my mind and put a pause to reflect my lifeIt turns out what I gained was really double and much more than I expected.  It’s a pure beautiful scenery of Ladakh makes people spiritual growth - This trip helps me to understand my life and my life's tasks better and thereby to achieve my purpose of life in a relaxing and comfortable way. It helps me gain much confidence, realize the ability that I don’t aware that I have.  It brings me joy and happiness...pure joy guys!Time for a change...GO GO LADAKH...."
1,Ladakh_Bike_Rental,rama adinugraha,5.0 of 5 bubbles,Jul 2019 • Friends,SUPERB LADAKH BIKE OPERATOR,"Thanks God, i found Ladakh Bike Rental in website.. Gurmat (CEO of LBR) is super friendly and professional bike rental operator.. In Early March i contacted him to ask about single solo trip 11 days to ladakh, and he replied my email in no time.. Month later, i emailed him back, to ask about private tour for 4 riders (11 Days , Into Thin Air Tour - Itinerary like in LBR website), and then he replied me in no time with good explanation about The Tour itself and ask what do we want for motorcycle... So, i asked him that we were 4 riders, want to ride 3 Himalayan and 1 Classic RE, with lite modified itinerary and ask a mechanic to accompany us within the tour.. Then he replied me again about T&C and Quotation with very very very very good price.When we arrived at Srinagar, we were welcomed by Stanzin using toyota Innova taxi and take us to departure point.The bikes is very well maintained (LBR always sell their bike after 3 years operating)..From previous email, Gurmat told me that he will provide a backup vehicle for just 4 days (2 days in the early tour and 2 days before the tour ends), but in fact he gave us BONUS a back up vehicle within the tour so we dont have to attached our luggage on the bike woohooo... (Thanks Gurmat)The tour it self was very very awesome and memorable journey, thanks to LBR crew, Stanzin (our guide with back up vehicle) and Sandeep (our mechanic), they gave us the warm of ladakhi people.. They explained everythings within the tour.. and also they have good skill to take a picture..The route we took are from Srinagar - Kargil - Leh - Pangong Lake - Nubra Valley - Leh - Tso Moriri - Tso Kar - and finish at Leh, along the route we were amazed with the beauty of Himalayan, Korzok Lake, Pangong Lake, and Tso Moriri Lake and always stunned with the view. The Road we took was 30% offroad, but we like it very very much..Accomodation also very nice, Gurmat always considered with hotel and Deluxe tent, he always gave us best accomodations within the budget, and make sure that we always have a good rest. Another bonus from Gurmat are, when The last day he gave as a memorable overnight at Shakti Village Resort, a cozy resort with beautiful view (Thanks Again Gurmat)And also Gurmat invited us to farewell Dinner (beer included) (Thanks againn Gurmat)..Overall, Gurmat (Ladakh Bike Rental) and his crew has make our dream trip became an epic journey and memorable.. We were satisfied with their services..If you plan a Ladakh Bike Trip, dont hesitate to call Gurmat, he will give you an epic journey... "
2,Ladakh_Bike_Rental,Antonadam,5.0 of 5 bubbles,Jul 2019 • Friends,Very professional motor tour operator,Very professional motor tour operator. We had a lot of fun and gain so many experience also friendship. Bike is in an excelent condition. Guide is very fun. I will recommend to all my friend
3,Ladakh_Bike_Rental,Harris,5.0 of 5 bubbles,Jul 2019 • Friends,Great service,"This memorable moment cant forget, since we arrived till the end... road trip is more fun with the excellent team, they guide ua, guard us, lot of question and favor we ask, they are fullfilled it without any compliment.. i will be back again .... this team are gorgeus"
4,Ladakh_Bike_Rental,Balwanth,5.0 of 5 bubbles,Apr 2019 • Friends,PRICELESS LIFE EXPERIENCE,"If there is one experience in this universe I urge any person to take on, it is this bike trip/tour. You will be challenged mentally and physically through a breathtaking planetary experience along the leh ledakh mountains. With life experiences like these, you will be rewarded with different perception on life itself. The tour guide (om) and tour manager (Gurmat) we had were extremely helpful and kind in attending to our needs throughout the bike trip, and had our goodbyes with a memorable dinner. Excellent Accommodation, food and bike gear were all provided to us along the bike tour.20 out of 10 experience.Warm RegardsAustralian Adventurists"
5,Ladakh_Bike_Rental,rjpriyanka,3.0 of 5 bubbles,Apr 2018 • Friends,Bikes,The best way to explore Leh is on bikes. This allow all your sense to feel and enjoy tje beauty od this rPlace. These people offer bikes in giod condition. Please take proper tips before you take any bike
6,Ladakh_Bike_Rental,dead_monkee,5.0 of 5 bubbles,Apr 2018 • Friends,Adventure of a lifetime with Ladakh Bike Rental,"Ladakh is a hidden gem in India and thanks to Gurmat and his crew we had a wonderful experience conquering the wild terrain in Ladakh on two wheels in April 2017.We got in touch with Gurmat in early March, and despite the short notice he offered us a well planned itinerary. The trip consisted of visiting Leh and its surrounding remote villages on a Royal Enfield Bullet 500. Tour guide, mechanic, supporting vehicle and accommodation for all days in Ladakh are included. On the day of arrival we were greeted by Gurmat and checked our vehicles. The machines were well maintained, and any adjustment request to the bike was taken care of by the team mechanic immediately.The roads of Ladakh are mainly sandy gravel and rocky hillside roads. If one decided to go higher up the mountains, the rider encounters wet mud and even snow in early April. Despite the harsh terrain, our tour guide and mechanic led the trip with a passion and helped us avoid the many dangers of the road. With that being said, adventure riding in Ladakh is a big challenge to the skill and responsiveness of a rider. Winter motorcycle protection is strongly recommended. Ladakh Bike Rental is well prepared in that aspect - the company has plenty of gear to borrow from waterproof off-road boots to full face helmets.Again we thank the people in LBR team - Gurmat and Tsewang Namgail, Stanzin Khakyab and others for providing an excellent Ladakh experience. Hope we will return some day for the Zanskar..."
7,Ladakh_Bike_Rental,billmcanish,5.0 of 5 bubbles,Sep 2018 • Solo,Trip Himalayas,"Thankyou so much 1 off the best trips I’ve ever ever done,So much attention to detail,I will be returning definitely, it was amazing being there no rush plenty of time for photos, and relaxing, fantastic bikes and better scenery, THANKYOU SO MUCH"
8,Ladakh_Bike_Rental,Badr,5.0 of 5 bubbles,Oct 2018 • Solo,Solo bike trip to Ladakh,"I've had a great human experience while choosing Ladakh bike Rental as an organizer of my solo bike trip in Ladakh. Gurmat the manager handled all my requests pretty fast and easily by changing my routes as I wanted and tried to offer a good price/quality package for almost 9 days. My guide/mechanic Norbu was helpful and a good companion. He managed to invite me for almost 3 nights and 4 days at his family home as I requested to LBR (live with local people) and he helped me discover some great hidden place around Kargil and Wakha (trekking/biking gems). Also Gurmat and his team helped me find a cheap flight ticket from Leh to Delhi 2 days before my departure as no seat was left online. As a solo traveler, i enjoyed the package and i truly recommend LBR as a tour booking manager for the Ladakh region."
9,Ladakh_Bike_Rental,Haziq B,5.0 of 5 bubbles,Oct 2018 • Friends,Highlight of himalayan trip!,"Gurmat was very friendly and accomodating! We were a group of 5 guys and rented 5 bikes, 2 himalayans and 3 bullets. We went to ladakh with no plan whatsoever and Grumat helped us with all rounded logistics, tailored to our budget. Bikes were well maintained, no problems with getting up and over the passes and roads. Gurmat and gang were very helpful and knowledgeable, answering any queries online and offline quickly, and they took very good care of us on and off the bike. They treated us as family and even helped take pictures of us while all of us were riding en route. 10/10 will recommend to anyone who is going to ladakh to experience the best ride of their life"
0,Ladakh_Bike_Rental,Quest49074533433,5.0 of 5 bubbles,Oct 2018 • Friends,exhilarating ride,"Gurmat and co has been our guide for Chang la Pass and Khardung la pass. we went mid October and weather starts to get cold. It was literally freezing cold reaching -12 degrees Celsius and we were not acclimatized to the cold and altitude. But with Ladakh bike rental crew around they provide safety and assurance the tools we need for this trip. To be honest we would have a hard time to make it through without them. Bike was okay, didnt break down whatsoever, was able to start freezing cold. so do have a talk with them, they know what they are doing. ladakh bike rental thank you"
1,Ladakh_Bike_Rental,Footprints830038,5.0 of 5 bubbles,Oct 2018 • Friends,Such a wonderful trip,"There are seven members in our group from Thailand. We had a great experince with riding Royal Enfield 400 cc.,Himalayan bike. The trips were safe and very fun.Our guides,Gurmat and his team were super professional and super nice. They took us a wonderful trip without any problems. We were appriciated all off you guys for everything. Thank you so much.😊😊😉😉"
2,Ladakh_Bike_Rental,eletizia90,5.0 of 5 bubbles,Aug 2018 • Couples,TOP ROYALS,"Gurmat and his guys were super nice and gentle. They gave us two wonderful royal enfield 500cc. We had a great experince and the bikes were safe and strong, they went across every kind of road and they brought us back to leh without any problem.Just remember to ask for any kind of tools, the guys will explain you how to use them.We recommed Ladakh Bike Rental!!!"
3,Ladakh_Bike_Rental,LastMinuteTrips143,5.0 of 5 bubbles,Oct 2018 • Friends,LBR - Best in Business,"Wow.. what an amazing, professional  bunch of guys this LBR is.. We took the package consisting of 4 RE Himalayan, Accommodation, Breakfast, Dinner & Guide (Tsewang) . There is not a single thing that went wrong. LBR treats its customers as a part of the family. I can safely say that we have added friends from Leh in our life. Leh is a place wherein you  would need expert hands and look no further than Ladakh Bike Rental. These guys also arrange winter trek, winter bike expedition. If you would like to go to Ladakh, LBR is the professionals that you take service from...The ex-factor: LBR owns a hotel at Leh. You can literally pluck apple and eat it after Breakfast :) With Love, Vijay & Group from Pune :)"
4,Ladakh_Bike_Rental,Dino246,5.0 of 5 bubbles,Sep 2018 • Friends,Himalayan Highlights on a Royal Enfield,"It's a risky business booking a motor-cycle holiday in a relatively remote part of the planet, with somebody you don't know, & hoping that it will turn out OK! I took the risk with Gurmat (of Ladakh Bike Rental) and the experience was excellent & painless!!! Gurmat was so casual during our telephone arrangements that I wondered could he be as efficient as he seemed. The planned trip (for my son & I) was 14 days touring the Ladakh region of Kaskmir.We had zero problems and everything worked perfectly, from being met at the airport, to the bike tour with Phuntsok, our excellent mechanic & guide. We had a fantastic experience, crossing the three highest navigable passes on the planet (& other lower passes), visiting some of the remotest areas I have ever encountered and all of the time the scenery was breath-taking and the people we encountered were splendid, colourful & friendly. Every minute my helmet camera was off, I felt I was missing both scenery & local culture. I took the 'Deluxe' package, but I would recommend (for the small extra charge) that people considering this trip should opt for 'Luxury' in Leh, and take whatever is available when touring in the remote areas.I had a Royal Enfield 500cc Classic and this is the best of the available bikes for the terrain. The 'Himalayas' looks better, but the Classic is the bike for the job!Five star plus to Gurmat, Phuntsok & the rest of the team!!! I have no hesitation recommending them for such a trip, which should definitely be on one's 'Bucket List'!"
5,Ladakh_Bike_Rental,lokiez,4.0 of 5 bubbles,Jul 2018 • Friends,Had a Nice trip,"I opted for ""Camps & Rides"" tour and i had a good experience. Whole trip was well organised and despite it being an eight day tour which requires good planning, Gurmat was flexible to accommodate our requests for route change just a day before!! A friend of ours was having trouble riding bike, so Gurmat provided us an extra person who drove his bike at no extra cost!! Absolutely amazing.You can trust ""Ladakh Bike rental"" for their word, atleast i had good experience.There was one small issue during the trip. I have not driven bike on mountain ever so i was slow with my ride and support vehicle driver kept on pushing to drive fast which was little annoying and can be risky as well. But still it was all manageable and i would definitely recommend them for Bike rental and tours."
6,Ladakh_Bike_Rental,Sanjay Jog,5.0 of 5 bubbles,Jun 2018,Jaan Daar Savari Shaan Dar Savari,Bullet is the best experience you can get in Leh - the bullet vendors are very sweet people and they help you in all ways and means - NEVER miss a bullet ride when you are in leh
7,Ladakh_Bike_Rental,sy c,5.0 of 5 bubbles,Aug 2018 • Friends,"Amazing experience, well planned camp and rides and most importantly safety conscious with trustworthy bikes and crew!","My friends and I did the 8 Days ladakh camp and rides from August 11 to 18 2018. From start to finish, Gurmat and his crew ensured (1) safety - extremely important for these roads. Every morning, our guide Angry, mechanic Sandeep and support driver Justin would ensure all bikes were in good condition. Angdu matched his pace/speed to our skills and road conditions(2) mesmerizing destinations and sites - which is the draw of ladakh. our tour brought us through the best of Ladakh with all 3bhighest passes and overnight stays at 3 Highest lakes. with stops at some of the most beautiful sights I've ever seen in my life. Pardon the pics, all shot with my mobile and I am a lousy photographer(3) great customer service - accommodating every request we had for them including ensuring members of our groups got their best photos, setting up a camp fire, buying water for us. Even his own lodging house staff Pradeep, Shankar and Reedam saw to our every need and cooked meals to our preference!If you are doing a Ladakh bike trip, LBR is the company to go for!Lastly, I have read negative reviews about communications - having been starved of connectivity (there is zero roaming and wifi, when available in Leh only is at best patchy), it is understandable if they are slow in response."
8,Ladakh_Bike_Rental,Rohit Sarkar,5.0 of 5 bubbles,Aug 2018 • Couples,Simply the best!,"I and my friends just completed a trip (11th -18th) Aug 2018 , Camps & Rides. I must admit Gurmat and his team are the most professional, reliable and friendly team around.. I had one of the best bike trips of my life, all thanks to Gurmat and his lovely team.. ladakh bike rental is a team which is courteous, always approachable and the most friendly people who know every Knick and corner of Ladakh... I would strongly recommend them to everyone who want to explore Leh & Ladakh on a Royal Enfield. All the bikes are new and well maintained, the service team is always ready 24×7 to help you anywhere you need them .. They take care of all your needs with the best facilities, accommodation and food.. I wish ladakh bike rentals all the success ahead because they are really good people..."
9,Ladakh_Bike_Rental,Jeremy J,1.0 of 5 bubbles,Aug 2018,Bad! ,"Really difficult to found the place, the personal was not friendly with us and the motorbike has lot of different problems during the ride! I let you choose... "
