,City,Attraction,Summarised Review,Compound Sentiment,Normalised Sentiment,Mean Rating
23,Goa,Sinquerim_Beach-Sinquerim_North,the beach was empty in the morning till 9:30am.the waves were a little larger than those on other beaches . this pace is always crowded due to the beach and also nearby attractions like fort aguada .,0.5423,5,4.42
24,Goa,Anjuna_Beach-Bardez_North,"anjuna beach is one of the best beaches for water and sport activities,amazing place to hangout . if you do not park where you want & pay them money, there are people who won't let you enter .",0.6249,5,3.77
25,Goa,Anjuna_Market-Anjuna_Bardez_North,anjuna Flee market is literally full of hundreds of stands selling the same things . it's ok if you're in the area but dont go out of your way and pay more than 600 rupees there and back for a taxi .,-0.0,3,3.87
26,Goa,Se_Cathedral-Panjim_North,i highly recommend Old Church Goa as a must place to visit in Goa . it was the testimony of the most favorite destination in goa for the tourists .,0.7258,5,4.46
27,Goa,Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,the church is situated just next to the American University of Malta . it has a large staircase and bells that visitors are allowed to ring themselves for the town to hear .,0.0,3,4.18
28,Goa,Ashwem_Beach-Morjim_North,"Ashwem beach is one of the very few beaches in goa with no buzz peaceful place to spend evening's,you will also have shack's around for food .",0.25,4,4.54
29,Goa,Chapora_Fort-Chapora_North,"the fort itself is not being maintained very well, but for a short 1 hour visit you can really enjoy some breath taking views . it would be best, if someone visits at the day’s end.... as you can save your sweat .",0.9554,5,4.08
30,Goa,Reis_Magos_Fort-Panjim_North,"the fort is quite extensive being on two levels built on the side of a hill . it was developed to the present state from ruins, in fact one of the best around .",0.3182,4,4.5
31,Goa,Mangeshi_Temple,a linga was left to mark the place where the legend occurred . a temple was built to house Lord Manguesh .,0.0,3,4.42
32,Goa,The_Saturday_Night_Market-Arpora_North,the market is very busy and covers around a quarter of a mile square with every sort of stall selling most things anyone might want . be prepared to bargain for everything and the items we did buy we got at a fifth of the initally quoted price .,0.228,4,3.93
33,Goa,Tomb_of_St_Francis_Xavier-Old,a must see place for visitors to goa of all faiths . visit to the Basilica of Bom Jesus and the tomb of St. Francis Xavier .,0.4215,4,4.38
34,Goa,Shantadurga_Temple-Panjim_North,"kuldevata is a gouda saraswat brahman temple . it's an architectural marvel offering divine homeliness,peace,blissful living the goddess guiding oneself towards humanity .",0.7506,5,4.53
35,Goa,Majorda_Beach-Majorda_South,if you are visiting south goa i would suggest you visit this beach . there is no pay and use changing rooms/baths . a short distance walk from the village is this beach beautiful sand .,0.3182,4,4.63
36,Goa,Miramar_Beach-Panjim_North,caranzalem beach is one of the best natural light shows you'll get to see in Goa . it's a small beach as compared to other beaches in the country .,0.7717,5,3.67
37,Goa,Sahakari_Spice_Farm-Ponda_North,spice farm is hardly 20 mins and they don’t even show their farms . tour is around a garden area and should not be called as plantation tour .,0.0,3,3.76
38,Goa,Dona_Paula_Beach-Dona_Paula_Panjim_North,too much tourist traffic has made the place a bit filthy . the dona paula view point itself is closed to public but is in a congested city .,0.0,3,3.78
39,Goa,Fort_Aguada_Lighthouse-Bardez_North,"a squat and sure, formidable lighthouse built in 1864 within the strategically located fort Aguada, one of the oldest of its kind in Asia . emitted light every seven minutes through (what must have been) oil lamps .",0.6908,5,4.15
40,Goa,Betalbatim_Beach-Betalbatim_Salcette_South,Betalbatim beach in south goa is less crowded and quieter than other beaches . the beach is usually empty so it's feels like private beach . we saw mostly young families enjoying themselves here .,0.6557,5,4.6
41,Goa,Keri_Beach_Querim_Beach-Arambol_North,"many people live out here to escape the traffic and loud dance parties in Arambol, but still be 15 mins drive away from the action . the beach is nearby arambol beach but is quite peaceful as it is not quite crowded .",0.7869,5,4.6
42,Goa,Cabo_de_Rama_Fort-Canacona_South,"the fort is in ruins, but it offers splendid sea views from top . there are supposed to be perennial springs but attractions are not well labelled . if you like to explore new routes, don't miss this fort .",0.916,5,4.25
43,Goa,St_Alex_Church-Calangute_North,a small church but has a very peaceful atmosphere in south Goa . it is away from the popular touristy attractions and hence does not get its worth .,0.903,5,4.33
44,Goa,Butterfly_Beach-Palolem_Canacona_South,Pristine beach in the Arabian sea is about 15 mins boat ride from Palolem beach . it's a small beach in between two mountains .,0.0,3,3.81
45,Goa,Tanshikar_s_Working_Organic_Spice_Farm-Sanguem_South,a visit to a family run spice farm is a must do in goa . the farm is run with a lot of dedication and truthfulness . it really gives lot of encouragement to keep it like this .,0.7906,5,4.65
46,Goa,Cansaulim_Beach-Cansaulim_South,cansaulim beach is a must visit beach but as compared to cavelossim this is not great so if you are looking for better beaches then mobor is better . the beach is close every morning and every evening to have the aesthetic experience .,0.5038,5,4.56
47,Goa,Naval_Aviation_Museum-Mormugao_North,"if you want to spend time different from party, beach and want to learn new thing about Indian Navy must go this place .",0.5106,5,4.56
48,Goa,Bogmalo_Beach-Vasco_da_Gama_South,"the beach is located behind the airport, with hardly any visitors, good, clean, and relaxed vibe . if you are doing water sports then this can be a one day trip .",0.8194,5,4.2
49,Goa,Galgibaga_Beach-Agonda_South,galgibaga beach is a 20min drive from palolem beach in south goa . it's one of the most important turtle nesting spots in the world .,0.2716,4,4.62
50,Goa,Mobor_Beach-Salcette_South,Mobor beach is one of finest beach in south goa.it is very clean n much less crowded . there is Fisherman's Warf and water sports on the river nearby .,0.4576,4,4.69
51,Goa,Tropical_Spice_Plantation-Ponda_North,spice plantation is commercialized and catering to batches of tourists in row . entrance included a buffet lunch and a guided tour for 400 rupees .,0.0,3,3.86
52,Goa,Din_Brothers_Jewellers_and_Gold_Smiths-Cavelossim_South,"i have been visiting Din Brothers every time we visit Cavelossim in goa . they are professional in everything that they do,with no pressure to sell you something . we have purchased many a diamond over the years and a totally satisfied .",0.2716,4,4.95
53,Goa,Divar_Island-Panjim_North,"Divar island is for peace lovers, it shows u the other side of Goa away from commercial crowd and beaches . there's hardly anything u can do except fish, swim in a pond and visit a church .",0.7845,5,4.31
54,Goa,Arossim_Beach-Cansaulim_South,the sand dunes at Arrosim are lined by tall coconut trees . the sea is like getting in a warm bath and sunsets are spectacular .,0.5267,5,4.6
55,Goa,Paul_John_Visitor_Centre_John_Distilleries-Cuncolim_South,"if you drink whiskey or not, this tour is whiskey 101 ! it is an hour long tour starting with basics followed by process of making and the best part is to close the tour by tasting .",0.6696,5,4.8
56,Goa,Margao_Market-Margao_South,if you want to see Goa as a local would see it this is the place to visit . the market is used by the locals with few tourists so you really get the sense of India in more ways that one .,0.0772,3,3.81
57,Goa,Deltin_Jaqk-Panjim_North,"Deltin Jaqk is one of the best casino to visit in Goa . a great experience, engaging games and good food .",0.9274,5,4.18
58,Goa,Church_of_St_Francis_of_Assissi-Old,church of st francis of assissi is the first church ever built in goa . museum is closed on friday .,0.0,3,4.4
59,Goa,Mapusa_Friday_Bazaar-Mapusa_North,"Xavier's is a must for home made snacks and hot or cold drinks . it's just all the items under a same umbrella, but the items aren't exotic or something you couldn't buy anywhere else .",0.0,3,4.01
60,Goa,Museum_of,"the museum of goa is located in an industrial zone near Saligao . it is a private museum conceptualized by a physician turned historian . a tribute was paid to Mahatma Gandhiji,Father of our Nation .",0.0,3,4.32
61,Goa,St_Cajetan_s_Church-Old,the 17th century church is located close to the Viceroy's Arch (Mandovi river) it displays Baroque style architecture and is regarded to be a close replica of St. Peter’s Basilica in Rome.,0.0,3,4.52
62,Goa,Chapora_Beach-Arpora_North,'dil Chahta hai' fort is not left much to see...just walk on the ground and see the beaches from top .,0.2023,4,4.24
63,Goa,Ozran_Beach-Bardez_North,"the place has become so bad ,everynight its haunted by blaring music from the hotels on the beach . looks like the environment ministry is given a blind eye to the place and the distriction of the environment .",-0.8312,1,4.31
64,Goa,Church_and_Monastery_of_St_Augustine-Panjim_North,"church was built in the early 17th century in the regions of Old Goa, India . it is a part of UNESCO’s world heritage sites .",0.0,3,4.29
65,Goa,The_Zuri_White_Sands_Casino-Varca_Salcette_South,"food is too good, taste was fabulous and they provide too much varity in food in dinner as well in breakfast . the white sands beach is simply awesome, Pools are well maintained .",0.9274,5,3.72
66,Goa,Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,"church is a must to visit and step back in time well maintained . in 2013, the statue and relic of Blessed Mother Teresa was installed .",0.7184,5,4.4
