City,TimeFrame,Type,Stars (MR),#Attractions,Mean Sentiment,Mean Rating,Mean Summarised Sentiment,,
Chennai,Past 6 months,Family,2-3,,,,,,
Chennai,Past 6 months,Family,3-4,,,,,,
Chennai,Past 6 months,Other,4-5,,,,,,
Chennai,Past 6 months,Other,0-1,,3.54,4.46,3.80,,
Chennai,Past 6 months,Other,1-2,,,,,,
Chennai,Past 6 months,Other,2-3,,,,,,
Chennai,Past 6 months,Other,3-4,,,,,,
Chennai,Past 1 year,Family,4-5,,,,,,
Chennai,Past 1 year,Family,0-1,,3.30,4.41,4.05,,
Chennai,Past 1 year,Family,1-2,,,,,,
Chennai,Past 1 year,Family,2-3,,,,,,
Chennai,Past 1 year,Family,3-4,,,,,,
Chennai,Past 1 year,Friends,4-5,,,,,,
Chennai,Past 1 year,Friends,0-1,,3.43,3.49,4.06,,
Chennai,Past 1 year,Friends,1-2,,,,,,
Chennai,Past 1 year,Friends,2-3,,,,,,
Chennai,Past 1 year,Friends,3-4,,,,,,
Chennai,Past 1 year,Solo,4-5,,,,,,
Chennai,Past 1 year,Solo,0-1,,3.50,4.67,4.31,,
Chennai,Past 1 year,Solo,1-2,,,,,,
Chennai,Past 1 year,Solo,2-3,,,,,,
Chennai,Past 1 year,Solo,3-4,,,,,,
Chennai,Past 1 year,Family,4-5,,,,,,
Chennai,Past 1 year,Family,0-1,,3.67,4.31,3.86,,
Chennai,Past 1 year,Family,1-2,,,,,,
Chennai,Past 1 year,Family,2-3,,,,,,
Chennai,Past 1 year,Family,3-4,,,,,,
Chennai,Past 1 year,Other,4-5,,,,,,
Chennai,Past 1 year,Other,0-1,,3.35,4.62,3.75,,
Chennai,Past 1 year,Other,1-2,,,,,,
Chennai,Past 1 year,Other,2-3,,,,,,
Chennai,Past 1 year,Other,3-4,,,,,,
Chennai,Past 3 years,Family,4-5,,,,,,
Chennai,Past 3 years,Family,0-1,,3.80,4.53,3.92,,
Chennai,Past 3 years,Family,1-2,,,,,,
Chennai,Past 3 years,Family,2-3,,,,,,
Chennai,Past 3 years,Family,3-4,,,,,,
Chennai,Past 3 years,Friends,4-5,,,,,,
Chennai,Past 3 years,Friends,0-1,,3.82,4.54,3.46,,
Chennai,Past 3 years,Friends,1-2,,,,,,
Chennai,Past 3 years,Friends,2-3,,,,,,
Chennai,Past 3 years,Friends,3-4,,,,,,
Chennai,Past 3 years,Solo,4-5,,,,,,
Chennai,Past 3 years,Solo,0-1,,3.37,4.93,3.95,,
Chennai,Past 3 years,Solo,1-2,,,,,,
Chennai,Past 3 years,Solo,2-3,,,,,,
Chennai,Past 3 years,Solo,3-4,,,,,,
Chennai,Past 3 years,Family,4-5,,,,,,
Chennai,Past 3 years,Family,0-1,,3.36,4.63,3.34,,
Chennai,Past 3 years,Family,1-2,,,,,,
Chennai,Past 3 years,Family,2-3,,,,,,
Chennai,Past 3 years,Family,3-4,,,,,,
Chennai,Past 3 years,Other,4-5,,,,,,
Chennai,Past 3 years,Other,0-1,,3.44,4.87,3.78,,
Chennai,Past 3 years,Other,1-2,,,,,,
Chennai,Past 3 years,Other,2-3,,,,,,
Chennai,Past 3 years,Other,3-4,,,,,,
Chennai,Past 5 years,Family,4-5,,,,,,
Chennai,Past 5 years,Family,0-1,,3.65,4.38,4.06,,
Chennai,Past 5 years,Family,1-2,,,,,,
Chennai,Past 5 years,Family,2-3,,,,,,
Chennai,Past 5 years,Family,3-4,,,,,,
Chennai,Past 5 years,Friends,4-5,,,,,,
Chennai,Past 5 years,Friends,0-1,,3.39,4.35,3.76,,
Chennai,Past 5 years,Friends,1-2,,,,,,
Chennai,Past 5 years,Friends,2-3,,,,,,
Chennai,Past 5 years,Friends,3-4,,,,,,
Chennai,Past 5 years,Solo,4-5,,,,,,
Chennai,Past 5 years,Solo,0-1,,3.16,4.35,3.70,,
Chennai,Past 5 years,Solo,1-2,,,,,,
Chennai,Past 5 years,Solo,2-3,,,,,,
Chennai,Past 5 years,Solo,3-4,,,,,,
Chennai,Past 5 years,Family,4-5,,,,,,
Chennai,Past 5 years,Family,0-1,,3.42,4.47,3.41,,
Chennai,Past 5 years,Family,1-2,,,,,,
Chennai,Past 5 years,Family,2-3,,,,,,
Chennai,Past 5 years,Family,3-4,,,,,,
Chennai,Past 5 years,Other,4-5,,,,,,
Chennai,Past 5 years,Other,0-1,,3.74,4.45,4.39,,
Chennai,Past 5 years,Other,1-2,,,,,,
Chennai,Past 5 years,Other,2-3,,,,,,
Chennai,Past 5 years,Other,3-4,,,,,,
Chennai,Past 5 years,Other,4-5,,,,,,
Chennai,All Time,Family,0-1,,3.57,4.60,3.52,,
Chennai,All Time,Family,1-2,,,,,,
Chennai,All Time,Family,2-3,,,,,,
Chennai,All Time,Family,3-4,,,,,,
Chennai,All Time,Family,4-5,,,,,,
Chennai,All Time,Friends,0-1,,3.44,4.64,4.00,,
Chennai,All Time,Friends,1-2,,,,,,
Chennai,All Time,Friends,2-3,,,,,,
Chennai,All Time,Friends,3-4,,,,,,
Chennai,All Time,Friends,4-5,,,,,,
Chennai,All Time,Solo,0-1,,3.18,4.49,4.34,,
Chennai,All Time,Solo,1-2,,,,,,
Chennai,All Time,Solo,2-3,,,,,,
Chennai,All Time,Solo,3-4,,,,,,
Chennai,All Time,Solo,4-5,,,,,,
Chennai,All Time,Family,0-1,,3.34,4.87,3.90,,
Chennai,All Time,Family,1-2,,,,,,
Chennai,All Time,Family,2-3,,,,,,
Chennai,All Time,Family,3-4,,,,,,
Chennai,All Time,Family,4-5,,,,,,
Chennai,All Time,Other,0-1,,2.94,4.66,4.02,,
Chennai,All Time,Other,1-2,,,,,,
Chennai,All Time,Other,2-3,,,,,,
Chennai,All Time,Other,3-4,,,,,,
Chennai,All Time,Other,4-5,,,,,,
